Item,Carbon Footprint (kg CO₂/kg),Water Usage,Land Usage,Processing Level,Packaging,Sustainable
tuna,11.8,low,low,highly processed,recyclable,No
cod,22.0,low,medium,highly processed,no packaging,No
mackerel,5.0,high,low,minimally processed,plastic,No
sardines,35.3,high,low,highly processed,biodegradable,No
lobster,30.7,high,high,highly processed,biodegradable,No
clams,22.8,low,medium,highly processed,no packaging,No
oysters,17.2,low,high,highly processed,no packaging,No
soy sauce,5.0,high,medium,minimally processed,biodegradable,No
vinegar,34.5,low,low,unprocessed,no packaging,No
mustard,12.8,medium,low,highly processed,no packaging,No
ketchup,6.4,medium,low,highly processed,recyclable,Yes
mayonnaise,16.4,low,low,highly processed,recyclable,No
hot sauce,3.0,low,medium,highly processed,plastic,Yes
pickles,1.6,medium,high,minimally processed,plastic,No
canned beans,34.4,medium,medium,unprocessed,no packaging,No
canned tomatoes,39.4,high,medium,unprocessed,biodegradable,No
frozen pizza,12.2,medium,low,minimally processed,plastic,No
ice cream,26.5,low,high,minimally processed,plastic,No
potato chips,8.1,low,low,highly processed,plastic,Yes
popcorn,17.0,medium,medium,unprocessed,no packaging,No
protein bars,26.7,high,high,unprocessed,plastic,No
energy drinks,8.8,low,low,highly processed,biodegradable,Yes
instant noodles,35.4,medium,medium,highly processed,biodegradable,No
vegan burgers,26.4,medium,medium,unprocessed,plastic,No
plant-based milk,6.4,medium,medium,unprocessed,no packaging,Yes
